libelle_evenements,grande_categorie,code_categorie,Adresse,Numéro,categorie_nom,Nom de la structure,Code Postal,Ville,Lat,Lng,sous_categorie,refugie,asile,Sexe,family,Langues.1,Langues.2,Langues.3,code
 Chantier d'insertion,formation-emploi,205,"1 rue Etobon Chenebier, 33100 BORDEAUX",1899,FORMATION_EMPLOI,AFL Bastide,33100,Bordeaux,-0.552603,44.841688,"Epicerie Sociale, Permanence juridique, Chantier d'insertion, Formation français, Activités",False,False,mixte,True,français,,,33
 Atelier numérique,activite,201,"1 Rue Reynaldo Hahn, Paris, France",4942,FORMATION_EMPLOI,Bibliothèque Assia Djebar,75020,Paris,2.412011600000028,48.8492765,"Bibliothèque, Wifi, Prise, Ordinateur, Toilettes, Permanence juridique, Formation français, Permanence juridique, Activités, Atelier numérique",True,True,mixte,True,français,,,75
 Chantier d'insertion,formation-emploi,205,"1 Rue Robert-Houdin, Paris, France",6033,FORMATION_EMPLOI,Régie de quartier Fontaine au roi,75011,Paris,2.375688099999934,48.8702968,Chantier d'insertion,False,False,mixte,False,français,,,75
 Accompagnement à l'emploi,formation-emploi,203,"10 Rue Augustin Thierry, Paris, France",8123,FORMATION_EMPLOI,Cyber Ecrivain Public© Place des Fêtes,75019,Paris,2.3940044,48.8765001,"Atelier numérique, Numérisation de documents, Accompagnement à l'emploi, Permanence juridique, Conseil administratif",False,False,mixte,False,français, wolof, anglais,75
 Atelier numérique,activite,201,"10 Rue Augustin Thierry, Paris, France",8123,FORMATION_EMPLOI,Cyber Ecrivain Public© Place des Fêtes,75019,Paris,2.3940044,48.8765001,"Atelier numérique, Numérisation de documents, Accompagnement à l'emploi, Permanence juridique, Conseil administratif",False,False,mixte,False,français, wolof, anglais,75
 Accompagnement à l'emploi,formation-emploi,203,"10 Rue Jean Perrin, Neuilly-sur-Marne, France",7215,FORMATION_EMPLOI,Pôle Emploi - Neuilly-sur-Marne,93330,Neuilly-sur-Marne,2.518500099999983,48.8551628,"Accompagnement à l'emploi, Accompagnement à l'emploi",True,False,mixte,False,français,,,93
 Formation français,formation-emploi,202,"10 Rue Valette, Montreuil, France",5818,FORMATION_EMPLOI,Bibliothèque de quartier Paul Éluard,93100,Montreuil,2.4213237000000163,48.854729,"Bibliothèque, Ordinateur, Wifi, Formation français",True,True,mixte,True,français,,,93
 Soutien scolaire,formation-emploi,206,"100 Allée de l'Aqueduc Saint-Fiacre, 93220 Gagny, France",2951,FORMATION_EMPLOI,Centre Socioculturel des Hauts de Gagny,93220,Gagny,2.532442299999957,48.8901961,"Formation français, Accompagnement social, Activités, Ecrivain public, Soutien scolaire",False,False,mixte,True,français,,,93
 Atelier numérique,activite,201,"10-12 Place des Capucins, 33800 Bordeaux, France",4796,FORMATION_EMPLOI,Bibliothèque Capucins / Saint Michel,33800,Bordeaux,-0.5669970999999805,44.83073519999999,"Bibliothèque, Ordinateur, Atelier numérique, Ecrivain public",True,True,mixte,True,français,,,33
 Accompagnement à l'emploi,formation-emploi,203,"102 Avenue du Général Leclerc, Paris, France",7719,FORMATION_EMPLOI,Céapsy - Centre ressource troubles psychiques,75014,Paris,2.3260841,48.8266678,"Accompagnement à l'emploi, Conseil administratif, Conseil handicap",False,False,mixte,False,français,,,75
